station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
020 Gambetta,2,6,8,2022,01-15,21:10
021 Port Marianne,13,3,16,2022,01-15,21:10
022 Clemenceau,0,12,12,2022,01-15,21:10
023 Les Arceaux,7,9,16,2022,01-15,21:10
024 Cité Mion,3,5,8,2022,01-15,21:10
025 Nouveau Saint-Roch,3,5,8,2022,01-15,21:10
026 Renouvier,3,5,8,2022,01-15,21:10
027 Odysseum,5,3,8,2022,01-15,21:10
028 Saint-Denis,4,4,8,2022,01-15,21:10
029 Richter,12,4,16,2022,01-15,21:10
030 Charles Flahault,3,5,8,2022,01-15,21:10
031 Voltaire,6,2,8,2022,01-15,21:10
032 Prés d'Arènes,8,0,8,2022,01-15,21:10
033 Garcia Lorca,7,1,8,2022,01-15,21:10
034 Vert Bois,0,16,16,2022,01-15,21:10
035 Malbosc,4,4,8,2022,01-15,21:10
036 Occitanie,1,31,32,2022,01-15,21:10
037 FacdesSciences,3,21,24,2022,01-15,21:10
038 Fac de Lettres,0,16,16,2022,01-15,21:10
039 Aiguelongue,8,0,8,2022,01-15,21:10
040 Jeu de Mail des Abbés,6,2,8,2022,01-15,21:10
041 Euromédecine,3,5,8,2022,01-15,21:10
042 Marie Caizergues,0,8,8,2022,01-15,21:10
043 Sabines,6,2,8,2022,01-15,21:10
044 Celleneuve,6,2,8,2022,01-15,21:10
045 Jardin de la Lironde,4,4,8,2022,01-15,21:10
046 Père Soulas,5,3,8,2022,01-15,21:10
047 Place Viala,7,1,8,2022,01-15,21:10
048 Hôtel du Département,2,6,8,2022,01-15,21:10
049 Tonnelles,1,7,8,2022,01-15,21:10
050 Parvis Jules Ferry - Gare Saint-Roch,3,5,8,2022,01-15,21:10
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,21:10
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,21:10
054 Providence - Ovalie,0,8,8,2022,01-15,21:10
055 Pérols Etang de l'Or,23,45,68,2022,01-15,21:10
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,21:10
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,21:10
059 Sud De France,1,7,8,2022,01-15,21:10
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,5,7,12,2022,01-15,21:15
002 Comédie,11,13,24,2022,01-15,21:15
003 Esplanade,1,31,32,2022,01-15,21:15
004 Hôtel de Ville,6,10,16,2022,01-15,21:15
005 Corum,7,5,12,2022,01-15,21:15
006 Place Albert 1er - St Charles,11,20,31,2022,01-15,21:15
007 Foch,1,7,8,2022,01-15,21:15
008 Halles Castellane,4,8,12,2022,01-15,21:15
009 Observatoire,1,7,8,2022,01-15,21:15
010 Rondelet,4,12,16,2022,01-15,21:15
011 Plan Cabanes,7,5,12,2022,01-15,21:15
012 Boutonnet,5,7,12,2022,01-15,21:15
013 Emile Combes,6,2,8,2022,01-15,21:15
014 Beaux-Arts,6,2,8,2022,01-15,21:15
015 Les Aubes,7,1,8,2022,01-15,21:15
016 Antigone centre,8,8,16,2022,01-15,21:15
017 Médiathèque Emile Zola,7,9,16,2022,01-15,21:15
018 Nombre d'Or,8,8,16,2022,01-15,21:15
019 Louis Blanc,3,13,16,2022,01-15,21:15
020 Gambetta,1,7,8,2022,01-15,21:15
021 Port Marianne,13,3,16,2022,01-15,21:15
022 Clemenceau,0,12,12,2022,01-15,21:15
023 Les Arceaux,7,9,16,2022,01-15,21:15
024 Cité Mion,3,5,8,2022,01-15,21:15
025 Nouveau Saint-Roch,3,5,8,2022,01-15,21:15
026 Renouvier,3,5,8,2022,01-15,21:15
027 Odysseum,5,3,8,2022,01-15,21:15
028 Saint-Denis,4,4,8,2022,01-15,21:15
029 Richter,12,4,16,2022,01-15,21:15
030 Charles Flahault,3,5,8,2022,01-15,21:15
031 Voltaire,6,2,8,2022,01-15,21:15
032 Prés d'Arènes,8,0,8,2022,01-15,21:15
033 Garcia Lorca,7,1,8,2022,01-15,21:15
034 Vert Bois,0,16,16,2022,01-15,21:15
035 Malbosc,4,4,8,2022,01-15,21:15
036 Occitanie,1,31,32,2022,01-15,21:15
037 FacdesSciences,3,21,24,2022,01-15,21:15
038 Fac de Lettres,0,16,16,2022,01-15,21:15
039 Aiguelongue,8,0,8,2022,01-15,21:15
040 Jeu de Mail des Abbés,6,2,8,2022,01-15,21:15
041 Euromédecine,3,5,8,2022,01-15,21:15
042 Marie Caizergues,0,8,8,2022,01-15,21:15
043 Sabines,6,2,8,2022,01-15,21:15
044 Celleneuve,6,2,8,2022,01-15,21:15
045 Jardin de la Lironde,4,4,8,2022,01-15,21:15
046 Père Soulas,5,3,8,2022,01-15,21:15
047 Place Viala,7,1,8,2022,01-15,21:15
048 Hôtel du Département,2,6,8,2022,01-15,21:15
049 Tonnelles,1,7,8,2022,01-15,21:15
050 Parvis Jules Ferry - Gare Saint-Roch,3,5,8,2022,01-15,21:15
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,21:15
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,21:15
054 Providence - Ovalie,0,8,8,2022,01-15,21:15
055 Pérols Etang de l'Or,23,45,68,2022,01-15,21:15
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,21:15
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,21:15
059 Sud De France,1,7,8,2022,01-15,21:15
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,5,7,12,2022,01-15,21:20
002 Comédie,11,13,24,2022,01-15,21:20
003 Esplanade,1,31,32,2022,01-15,21:20
004 Hôtel de Ville,6,10,16,2022,01-15,21:20
005 Corum,7,5,12,2022,01-15,21:20
006 Place Albert 1er - St Charles,11,20,31,2022,01-15,21:20
007 Foch,1,7,8,2022,01-15,21:20
008 Halles Castellane,4,8,12,2022,01-15,21:20
009 Observatoire,1,7,8,2022,01-15,21:20
010 Rondelet,4,12,16,2022,01-15,21:20
011 Plan Cabanes,7,5,12,2022,01-15,21:20
012 Boutonnet,5,7,12,2022,01-15,21:20
013 Emile Combes,6,2,8,2022,01-15,21:20
014 Beaux-Arts,6,2,8,2022,01-15,21:20
015 Les Aubes,7,1,8,2022,01-15,21:20
016 Antigone centre,8,8,16,2022,01-15,21:20
017 Médiathèque Emile Zola,7,9,16,2022,01-15,21:20
018 Nombre d'Or,8,8,16,2022,01-15,21:20
019 Louis Blanc,3,13,16,2022,01-15,21:20
020 Gambetta,1,7,8,2022,01-15,21:20
021 Port Marianne,13,3,16,2022,01-15,21:20
022 Clemenceau,0,12,12,2022,01-15,21:20
023 Les Arceaux,7,9,16,2022,01-15,21:20
024 Cité Mion,3,5,8,2022,01-15,21:20
025 Nouveau Saint-Roch,3,5,8,2022,01-15,21:20
026 Renouvier,3,5,8,2022,01-15,21:20
027 Odysseum,5,3,8,2022,01-15,21:20
028 Saint-Denis,4,4,8,2022,01-15,21:20
029 Richter,12,4,16,2022,01-15,21:20
030 Charles Flahault,3,5,8,2022,01-15,21:20
031 Voltaire,6,2,8,2022,01-15,21:20
032 Prés d'Arènes,8,0,8,2022,01-15,21:20
033 Garcia Lorca,7,1,8,2022,01-15,21:20
034 Vert Bois,0,16,16,2022,01-15,21:20
035 Malbosc,4,4,8,2022,01-15,21:20
036 Occitanie,1,31,32,2022,01-15,21:20
037 FacdesSciences,4,20,24,2022,01-15,21:20
038 Fac de Lettres,0,16,16,2022,01-15,21:20
039 Aiguelongue,8,0,8,2022,01-15,21:20
040 Jeu de Mail des Abbés,6,2,8,2022,01-15,21:20
041 Euromédecine,3,5,8,2022,01-15,21:20
042 Marie Caizergues,0,8,8,2022,01-15,21:20
043 Sabines,6,2,8,2022,01-15,21:20
044 Celleneuve,6,2,8,2022,01-15,21:20
045 Jardin de la Lironde,4,4,8,2022,01-15,21:20
046 Père Soulas,5,3,8,2022,01-15,21:20
047 Place Viala,7,1,8,2022,01-15,21:20
048 Hôtel du Département,2,6,8,2022,01-15,21:20
049 Tonnelles,1,7,8,2022,01-15,21:20
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,21:20
